City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
202,Iqaluit,CA,2020-04-19 05:54:07,63.75,-68.51,-9.0,76,5,5.82,clear sky,0.0,0.0
203,Upernavik,GL,2020-04-19 05:54:07,72.79,-56.15,20.17,93,98,14.92,overcast clouds,0.0,0.0
204,Narsaq,GL,2020-04-19 05:54:07,60.92,-46.05,26.6,79,100,3.36,light snow,0.0,0.0
205,Dhadar,IN,2020-04-19 05:54:08,28.33,75.06,90.77,19,75,6.87,broken clouds,0.0,0.0
206,Port Hedland,AU,2020-04-19 05:50:55,-20.32,118.57,96.8,39,18,13.87,few clouds,0.0,0.0
207,Cabo San Lucas,MX,2020-04-19 05:50:58,22.89,-109.91,66.99,85,3,11.9,clear sky,0.0,0.0
208,Hamilton,US,2020-04-19 05:54:08,39.18,-84.53,45.0,75,1,8.05,clear sky,0.0,0.0
209,Talnakh,RU,2020-04-19 05:54:08,69.49,88.4,37.4,69,100,42.5,overcast clouds,0.0,0.0
210,Husavik,IS,2020-04-19 05:53:53,66.04,-17.34,35.6,93,90,6.93,light rain,0.0,0.0
211,Tokur,RU,2020-04-19 05:54:09,53.13,132.9,28.87,78,100,4.09,snow,0.0,4.07
212,Ormara,PK,2020-04-19 05:54:09,25.21,64.64,84.76,49,49,9.86,scattered clouds,0.0,0.0
213,Port-Gentil,GA,2020-04-19 05:54:09,-0.72,8.78,80.6,94,20,6.02,few clouds,0.0,0.0
214,Clyde River,CA,2020-04-19 05:53:25,70.47,-68.59,-0.4,91,90,8.05,overcast clouds,0.0,0.0
215,Kavaratti,IN,2020-04-19 05:54:10,10.57,72.64,89.6,66,20,5.82,few clouds,0.0,0.0
216,Doume,CM,2020-04-19 05:54:10,4.23,13.45,71.6,76,95,3.56,light rain,0.2,0.0
217,Kijang,KR,2020-04-19 05:54:10,35.24,129.21,55.4,76,90,13.87,light rain,0.0,0.0
218,Airai,TL,2020-04-19 05:53:24,-8.93,125.41,72.03,49,37,4.38,light rain,0.12,0.0
219,Lata,PT,2020-04-19 05:54:10,40.16,-8.33,51.01,97,12,2.8,few clouds,0.0,0.0
220,Cherskiy,RU,2020-04-19 05:53:44,68.75,161.3,8.28,93,7,13.47,clear sky,0.0,0.0
221,Mahebourg,MU,2020-04-19 05:54:11,-20.41,57.7,80.6,61,20,12.75,few clouds,0.0,0.0
222,Gizo,SB,2020-04-19 05:54:11,-8.1,156.84,83.86,72,22,2.48,light rain,1.54,0.0
223,Ambilobe,MG,2020-04-19 05:54:11,-13.2,49.05,82.72,56,23,3.04,few clouds,0.0,0.0
224,Lalmohan,BD,2020-04-19 05:54:12,22.34,90.74,87.6,63,6,12.77,clear sky,0.0,0.0
225,Lasa,IT,2020-04-19 05:52:42,46.62,10.7,46.99,93,75,5.82,broken clouds,0.0,0.0
226,Pevek,RU,2020-04-19 05:54:12,69.7,170.31,3.31,94,74,4.61,broken clouds,0.0,0.0
